postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Latitude,Longitude
AB392PP,AB39 2PP,AB,17.9,20.8,76.11,8.5,19.3,43.0,43.0,,3.7,4.0,20.0,1.0,3.7,10.0,10.0,,0,0,2,43,4,0,4,463.0,371.0,33.0,485.0,447.0,447.0,,,
AB392PQ,AB39 2PQ,AB,59.1,54.8,70.38,10.0,15.0,58.0,58.0,,19.5,17.0,20.0,1.0,12.0,17.8,17.8,,0,0,1,1,26,0,26,700.0,610.0,690.0,577.0,705.0,705.0,,,
AB392PR,AB39 2PR,AB,39.9,40.7,58.75,10.0,26.3,44.0,44.0,,10.0,12.0,20.0,1.0,9.3,12.8,12.8,,0,0,1,4,27,0,27,660.0,520.0,0.0,674.0,658.0,658.0,,,
AB392PS,AB39 2PS,AB,20.9,22.2,39.03,7.5,20.4,33.6,33.6,,5.3,4.9,7.9,1.0,4.9,6.3,6.3,,0,0,2,34,8,0,8,618.0,562.0,483.0,594.0,757.0,757.0,,,
AB392PT,AB39 2PT,AB,49.9,45.5,64.19,9.0,12.7,50.9,50.9,,12.1,13.2,20.0,1.0,1.0,15.1,15.1,,0,0,1,3,25,0,25,571.0,396.0,417.0,24.0,643.0,643.0,,,
AB392PW,AB39 2PW,AB,73.6,59.3,79.67,,20.0,72.5,72.5,,19.5,15.1,20.0,,1.0,19.8,19.8,,0,0,0,2,6,0,6,593.0,587.0,,133.0,746.0,746.0,,,
AB392PX,AB39 2PX,AB,64.1,58.1,79.98,,18.8,65.1,65.1,,19.5,15.4,20.0,,3.8,17.5,17.5,,0,0,0,5,28,0,28,856.0,660.0,,422.0,903.0,903.0,,,
AB392PZ,AB39 2PZ,AB,34.6,32.2,66.65,,20.5,40.9,40.9,,7.5,6.4,14.87,,3.7,8.3,8.3,,0,0,0,15,20,0,20,290.0,169.0,,288.0,292.0,292.0,,,
AB392QD,AB39 2QD,AB,21.8,38.5,73.32,,18.9,60.3,60.3,,1.3,9.1,20.0,,1.1,18.0,18.0,,0,0,0,10,9,0,9,146.0,51.0,,41.0,230.0,230.0,,,
AB392QF,AB39 2QF,AB,40.0,43.4,55.97,,24.0,45.3,45.3,,10.0,8.4,12.17,,10.0,8.3,8.3,,0,0,0,1,10,0,10,348.0,312.0,,182.0,330.0,330.0,,,
AB392QG,AB39 2QG,AB,23.4,22.1,24.38,,22.1,,,,1.1,1.1,1.24,,1.1,,,,0,0,0,7,0,0,0,138.0,121.0,,118.0,,,,,
AB392QH,AB39 2QH,AB,7.7,7.5,9.3,7.5,,,,,1.0,1.0,1.2,1.0,,,,,0,0,17,0,0,0,0,289.0,222.0,255.0,,,,,,
AB392QL,AB39 2QL,AB,9.6,42.2,330.0,8.4,10.0,92.0,121.8,330.0,0.8,6.5,50.0,0.9,0.7,15.7,20.0,50.0,0,0,16,3,7,1,8,442.0,459.0,320.0,684.0,615.0,595.0,459.0,,
AB392QN,AB39 2QN,AB,9.3,9.3,11.4,8.0,10.8,,,,0.8,0.8,1.09,0.8,0.8,,,,0,0,5,4,0,0,0,322.0,328.0,299.0,269.0,,,,,
AB392QS,AB39 2QS,AB,9.3,9.0,11.87,8.6,11.0,,,,0.8,0.8,1.14,0.9,1.0,,,,0,0,10,2,0,0,0,489.0,529.0,553.0,171.0,,,,,
AB392QT,AB39 2QT,AB,60.7,59.4,79.67,,,59.4,59.4,,15.0,15.0,20.0,,,15.0,15.0,,0,0,0,0,8,0,8,142.0,130.0,,,142.0,142.0,,,
