postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Latitude,Longitude
AB159NH,AB15 9NH,AB,31.1,29.6,51.94,8.5,20.2,39.2,39.2,,5.4,5.0,10.0,1.0,3.5,6.6,6.6,,0,0,2,11,15,0,15,541.0,242.0,101.0,633.0,424.0,424.0,,,
AB159NJ,AB15 9NJ,AB,30.6,29.5,35.89,,23.5,33.3,33.3,,7.2,5.9,8.14,,4.0,7.0,7.0,,0,0,0,2,3,0,3,415.0,349.0,,135.0,602.0,602.0,,,
AB159NL,AB15 9NL,AB,34.9,34.0,50.05,,23.3,40.3,40.3,,6.6,6.1,10.0,,3.3,7.8,7.8,,0,0,0,7,12,0,12,241.0,231.0,,285.0,195.0,195.0,,,
AB159NN,AB15 9NN,AB,40.3,50.1,79.92,,27.0,59.2,59.2,,10.0,11.8,20.0,,5.5,14.4,14.4,,0,0,0,2,5,0,5,476.0,314.0,,582.0,338.0,338.0,,,
AB159NQ,AB15 9NQ,AB,78.1,64.7,80.0,,21.3,72.9,72.9,,19.5,15.5,20.0,,3.3,17.8,17.8,,0,0,0,3,16,0,16,389.0,273.0,,187.0,402.0,402.0,,,
AB159NR,AB15 9NR,AB,78.1,61.0,80.0,,14.0,72.8,72.8,,20.0,14.5,20.0,,1.3,17.8,17.8,,0,0,0,3,12,0,12,259.0,182.0,,79.0,282.0,282.0,,,
AB159NT,AB15 9NT,AB,40.2,43.4,65.34,,29.0,49.2,49.2,,8.2,9.1,19.43,,6.0,10.4,10.4,,0,0,0,2,5,0,5,343.0,260.0,,780.0,168.0,168.0,,,
AB159NU,AB15 9NU,AB,24.7,27.2,54.48,9.0,19.5,43.5,43.5,,3.7,4.5,10.0,1.0,2.7,8.3,8.3,,0,0,1,21,11,0,11,288.0,191.0,15.0,271.0,291.0,291.0,,,
AB159NW,AB15 9NW,AB,21.6,23.7,40.14,6.0,20.5,36.3,36.3,,4.4,4.3,6.91,1.0,3.8,6.5,6.5,,0,0,1,10,4,0,4,710.0,391.0,4.0,749.0,788.0,788.0,,,
AB159NX,AB15 9NX,AB,21.4,28.9,71.47,7.5,19.0,44.2,44.2,,4.2,5.8,18.18,1.0,2.8,9.8,9.8,,0,0,2,5,6,0,6,302.0,253.0,32.0,344.0,257.0,257.0,,,
AB159NY,AB15 9NY,AB,18.4,17.9,30.81,9.0,18.7,30.5,30.5,,1.3,2.0,4.72,1.0,2.0,4.0,4.0,,0,0,5,26,2,0,2,184.0,146.0,153.0,177.0,91.0,91.0,,,
AB159NZ,AB15 9NZ,AB,23.9,22.3,32.51,7.5,22.5,31.0,31.0,,4.1,3.9,5.68,2.0,4.1,4.7,4.7,,0,0,2,16,3,0,3,301.0,236.0,132.0,282.0,215.0,215.0,,,
AB159PA,AB15 9PA,AB,71.7,62.6,79.76,,15.0,65.1,65.1,,19.2,15.8,20.0,,1.0,16.6,16.6,,0,0,0,1,19,0,19,274.0,237.0,,107.0,254.0,254.0,,,
AB159PB,AB15 9PB,AB,66.7,59.3,79.67,,15.5,63.9,63.9,,18.0,14.4,20.0,,1.0,15.8,15.8,,0,0,0,2,19,0,19,310.0,191.0,,187.0,290.0,290.0,,,
AB159PD,AB15 9PD,AB,39.1,40.6,54.28,,29.0,42.0,42.0,,8.6,7.9,10.0,,9.0,7.9,7.9,,0,0,0,1,9,0,9,491.0,347.0,,1648.0,308.0,308.0,,,
AB159PG,AB15 9PG,AB,54.8,56.9,73.92,,,57.0,57.0,,11.8,12.0,20.0,,,12.0,12.0,,0,0,0,0,5,0,5,464.0,637.0,,,464.0,464.0,,,
AB159PJ,AB15 9PJ,AB,39.1,36.7,47.25,,25.5,41.2,41.2,,7.2,7.3,8.84,,6.5,7.6,7.6,,0,0,0,2,5,0,5,377.0,261.0,,5.0,451.0,451.0,,,
AB159PL,AB15 9PL,AB,28.3,25.2,39.03,5.0,21.3,35.7,35.7,,6.3,5.8,8.21,1.0,6.0,7.3,7.3,,0,0,1,3,3,0,3,174.0,159.0,175.0,229.0,119.0,119.0,,,
AB159PP,AB15 9PP,AB,39.1,38.7,59.04,,19.8,43.2,43.2,,9.0,8.3,15.34,,3.4,9.5,9.5,,0,0,0,5,21,0,21,434.0,478.0,,148.0,337.0,337.0,,,
AB159PS,AB15 9PS,AB,44.0,46.7,76.56,,,46.8,46.8,,9.4,9.4,17.16,,,9.3,9.3,,0,0,0,0,9,0,9,385.0,244.0,,,299.0,299.0,,,
AB159PW,AB15 9PW,AB,39.1,35.0,51.06,7.0,13.0,39.6,39.6,,7.8,7.1,10.0,1.0,1.0,8.1,8.1,,0,0,1,1,11,0,11,503.0,466.0,363.0,346.0,439.0,439.0,,,
AB159PY,AB15 9PY,AB,38.2,34.9,39.06,,27.0,36.8,36.8,,6.6,6.7,8.19,,6.0,6.8,6.8,,0,0,0,1,4,0,4,848.0,487.0,,693.0,675.0,675.0,,,
AB159PZ,AB15 9PZ,AB,39.1,38.5,40.0,,,38.5,38.5,,7.1,7.2,8.8,,,7.2,7.2,,0,0,0,0,11,0,11,1068.0,707.0,,,874.0,874.0,,,
AB159QE,AB15 9QE,AB,34.0,31.0,41.31,7.0,21.0,36.8,36.8,,5.9,5.4,7.2,5.0,1.0,6.3,6.3,,0,0,1,1,6,0,6,419.0,405.0,220.0,405.0,385.0,385.0,,,
AB159QF,AB15 9QF,AB,25.7,26.2,37.94,8.0,20.3,35.0,35.0,,4.9,4.0,7.0,1.0,2.3,6.0,6.0,,0,0,1,3,4,0,4,328.0,132.0,0.0,29.0,552.0,552.0,,,
AB159QJ,AB15 9QJ,AB,24.3,22.3,28.09,,22.3,,,,1.3,1.8,4.49,,1.8,,,,0,0,0,6,0,0,0,416.0,350.0,,416.0,,,,,
AB159QN,AB15 9QN,AB,38.2,39.6,74.46,,21.1,46.6,46.6,,8.0,7.5,19.53,,1.8,9.7,9.7,,0,0,0,8,21,0,21,328.0,152.0,,164.0,391.0,391.0,,,
AB159QP,AB15 9QP,AB,40.0,43.3,76.27,9.0,20.5,53.4,53.4,,10.0,10.5,20.0,1.0,1.0,14.0,14.0,,0,0,1,2,8,0,8,290.0,281.0,63.0,235.0,332.0,332.0,,,
AB159QQ,AB15 9QQ,AB,50.5,49.3,80.0,,18.5,53.7,53.7,,10.0,11.0,20.0,,4.0,12.0,12.0,,0,0,0,2,14,0,14,178.0,140.0,,101.0,189.0,189.0,,,
AB159QR,AB15 9QR,AB,78.1,60.8,79.91,,20.7,67.9,67.9,,19.5,14.5,20.0,,3.3,16.5,16.5,,0,0,0,3,17,0,17,280.0,210.0,,144.0,255.0,255.0,,,
AB159QT,AB15 9QT,AB,42.0,46.2,75.86,,23.0,53.3,53.3,,10.0,10.9,19.52,,1.3,13.8,13.8,,0,0,0,4,13,0,13,261.0,156.0,,300.0,249.0,249.0,,,
AB159QU,AB15 9QU,AB,29.5,28.8,46.13,9.0,24.5,37.7,37.7,,5.6,5.2,7.01,1.0,5.0,6.0,6.0,,0,0,1,8,6,0,6,586.0,434.0,262.0,481.0,585.0,585.0,,,
AB159QX,AB15 9QX,AB,79.7,61.7,80.0,,22.3,72.5,72.5,,20.0,14.5,20.0,,1.3,18.1,18.1,,0,0,0,3,11,0,11,131.0,85.0,,8.0,153.0,153.0,,,
AB159RA,AB15 9RA,AB,64.9,58.8,78.12,,22.3,66.1,66.1,,19.5,14.2,20.0,,1.3,16.8,16.8,,0,0,0,3,15,0,15,276.0,297.0,,27.0,253.0,253.0,,,
AB159RB,AB15 9RB,AB,35.0,35.0,78.12,,20.7,42.1,42.1,,6.6,5.8,19.53,,1.6,7.9,7.9,,0,0,0,7,14,0,14,296.0,198.0,,249.0,298.0,298.0,,,
AB159RD,AB15 9RD,AB,53.7,50.0,79.91,,19.0,55.6,55.6,,10.0,10.5,20.0,,1.0,12.2,12.2,,0,0,0,2,11,0,11,508.0,245.0,,97.0,491.0,491.0,,,
AB159RE,AB15 9RE,AB,52.2,49.8,79.97,,21.7,61.9,61.9,,10.0,11.6,20.0,,2.5,15.5,15.5,,0,0,0,6,14,0,14,195.0,141.0,,130.0,167.0,167.0,,,
AB159RF,AB15 9RF,AB,21.5,21.4,32.79,7.0,21.5,33.0,33.0,,1.2,1.4,3.16,1.0,1.4,1.0,1.0,,0,0,1,21,1,0,1,476.0,338.0,81.0,477.0,856.0,856.0,,,
AB159RH,AB15 9RH,AB,17.9,18.1,43.14,9.0,17.5,43.0,43.0,,1.2,1.6,13.13,1.0,1.1,13.0,13.0,,0,0,1,24,1,0,1,458.0,210.0,35.0,380.0,1840.0,1840.0,,,
AB159RJ,AB15 9RJ,AB,36.6,31.5,39.88,,20.3,38.2,38.2,,6.4,5.9,7.62,,4.3,6.8,6.8,,0,0,0,3,5,0,5,208.0,95.0,,89.0,279.0,279.0,,,
AB159RL,AB15 9RL,AB,34.8,31.2,39.84,,20.0,36.8,36.8,,6.1,5.2,7.55,,3.0,6.2,6.2,,0,0,0,5,10,0,10,345.0,220.0,,195.0,385.0,385.0,,,
AB159RN,AB15 9RN,AB,27.0,34.8,69.44,,22.7,49.2,49.2,,6.0,6.4,18.11,,3.2,10.2,10.2,,0,0,0,6,5,0,5,321.0,151.0,,334.0,305.0,305.0,,,
AB159RP,AB15 9RP,AB,39.9,45.5,78.16,,23.3,48.9,48.9,,7.5,9.3,20.0,,5.3,9.9,9.9,,0,0,0,4,26,0,26,382.0,382.0,,538.0,284.0,284.0,,,
AB159RR,AB15 9RR,AB,41.4,43.0,78.12,,20.4,53.2,53.2,,7.3,8.4,20.0,,2.6,11.1,11.1,,0,0,0,5,11,0,11,163.0,87.0,,79.0,171.0,171.0,,,
AB159RS,AB15 9RS,AB,39.4,42.0,79.67,,22.3,49.2,49.2,,7.7,8.8,20.0,,3.4,10.8,10.8,,0,0,0,8,22,0,22,459.0,423.0,,419.0,411.0,411.0,,,
AB159RT,AB15 9RT,AB,29.1,31.8,47.86,,24.2,40.1,40.1,,5.5,4.9,10.27,,2.9,7.1,7.1,,0,0,0,11,10,0,10,417.0,305.0,,456.0,248.0,248.0,,,
AB159RU,AB15 9RU,AB,18.2,16.3,21.84,9.0,17.4,,,,1.2,1.1,1.25,1.0,1.1,,,,0,0,1,7,0,0,0,265.0,193.0,170.0,241.0,,,,,
AB159SA,AB15 9SA,AB,39.5,37.4,41.11,,25.0,39.1,39.1,,6.9,6.6,8.63,,5.0,6.9,6.9,,0,0,0,1,7,0,7,152.0,55.0,,88.0,161.0,161.0,,,
AB159SB,AB15 9SB,AB,74.1,67.4,80.0,,23.0,69.4,69.4,,19.5,15.7,20.0,,1.0,16.3,16.3,,0,0,0,1,23,0,23,455.0,347.0,,43.0,434.0,434.0,,,
AB159SD,AB15 9SD,AB,52.1,51.9,80.0,,24.0,79.8,79.8,,1.1,8.0,20.0,,1.0,15.0,15.0,,0,0,0,4,4,0,4,39.0,29.0,,24.0,15.0,15.0,,,
AB159SE,AB15 9SE,AB,43.3,47.0,79.98,2.0,23.4,62.6,62.6,,10.0,10.5,20.0,0.0,1.8,15.8,15.8,,1,0,0,8,15,0,15,204.0,75.0,0.0,52.0,285.0,285.0,,,
AB159SF,AB15 9SF,AB,54.2,52.2,62.72,,,52.2,52.2,,10.0,11.0,20.0,,,11.0,11.0,,0,0,0,0,12,0,12,18.0,8.0,,,18.0,18.0,,,
AB159SQ,AB15 9SQ,AB,55.1,53.3,74.9,,25.0,55.1,55.1,,16.0,14.7,20.0,,5.0,15.3,15.3,,0,0,0,1,16,0,16,243.0,186.0,,2.0,243.0,243.0,,,
AB159SS,AB15 9SS,AB,39.3,37.8,52.46,8.0,25.0,42.1,42.1,,7.0,7.0,10.0,1.0,5.0,7.8,7.8,,0,0,1,1,10,0,10,268.0,264.0,38.0,558.0,208.0,208.0,,,
AB159ST,AB15 9ST,AB,54.8,47.1,79.66,,23.3,59.0,59.0,,10.0,8.1,20.0,,1.0,11.7,11.7,,0,0,0,3,6,0,6,111.0,84.0,,78.0,128.0,128.0,,,
AB159SX,AB15 9SX,AB,72.9,53.0,80.0,8.0,20.0,72.9,72.9,,20.0,12.1,20.0,1.0,1.2,18.0,18.0,,0,0,3,5,15,0,15,251.0,95.0,3.0,51.0,350.0,350.0,,,
AB159SZ,AB15 9SZ,AB,54.8,53.2,79.67,,22.6,67.6,67.6,,10.0,11.5,20.0,,1.9,16.1,16.1,,0,0,0,8,17,0,17,222.0,192.0,,98.0,242.0,242.0,,,
AB159TA,AB15 9TA,AB,38.6,36.4,48.8,,21.0,39.4,39.4,,7.9,7.8,10.0,,6.0,8.2,8.2,,0,0,0,1,5,0,5,534.0,290.0,,53.0,630.0,630.0,,,
AB159TB,AB15 9TB,AB,23.4,31.7,56.66,5.0,21.7,50.7,50.7,,6.4,6.6,15.39,1.0,2.7,12.3,12.3,,0,0,1,3,3,0,3,200.0,193.0,189.0,92.0,245.0,245.0,,,
AB159TD,AB15 9TD,AB,54.8,49.4,79.67,8.0,21.3,61.0,61.0,,10.0,9.6,20.0,1.0,1.0,12.9,12.9,,0,0,1,6,18,0,18,67.0,10.0,4.0,55.0,71.0,71.0,,,
AB159TE,AB15 9TE,AB,72.5,66.5,79.91,,18.0,68.1,68.1,,19.5,16.7,20.0,,1.0,17.2,17.2,,0,0,0,1,29,0,29,352.0,237.0,,987.0,281.0,281.0,,,
AB159TF,AB15 9TF,AB,37.2,39.1,62.96,,13.5,47.7,47.7,,11.0,10.7,20.0,,1.0,13.8,13.8,,0,0,0,2,6,0,6,258.0,75.0,,28.0,334.0,334.0,,,
AB159TG,AB15 9TG,AB,51.8,45.2,69.56,8.0,16.0,53.8,53.8,,10.0,9.8,18.77,1.0,1.0,12.2,12.2,,0,0,1,2,11,0,11,189.0,106.0,72.0,137.0,193.0,193.0,,,
AB159TJ,AB15 9TJ,AB,40.0,46.2,76.11,,22.5,55.8,55.8,,10.0,9.7,20.0,,1.0,13.0,13.0,,0,0,0,2,5,0,5,185.0,119.0,,26.0,249.0,249.0,,,
AB159TL,AB15 9TL,AB,76.1,58.5,79.91,,20.4,74.4,74.4,,19.5,14.6,20.0,,4.0,19.0,19.0,,0,0,0,5,12,0,12,522.0,118.0,,45.0,634.0,634.0,,,
AB159TN,AB15 9TN,AB,40.0,46.4,80.0,9.0,15.6,59.0,59.0,,10.0,10.9,20.0,4.0,1.1,14.8,14.8,,0,0,1,7,20,0,20,366.0,120.0,22.0,147.0,350.0,350.0,,,
AB159TP,AB15 9TP,AB,61.2,55.2,79.76,,18.3,63.1,63.1,,15.2,13.2,20.0,,2.0,15.6,15.6,,0,0,0,3,14,0,14,280.0,187.0,,148.0,288.0,288.0,,,
AB159TW,AB15 9TW,AB,62.8,61.9,78.12,,,61.8,61.8,,18.2,16.5,19.53,,,16.4,16.4,,0,0,0,0,5,0,5,455.0,431.0,,,364.0,364.0,,,
AB159TY,AB15 9TY,AB,44.9,45.3,72.34,,17.3,50.5,50.5,,10.0,11.2,20.0,,4.0,12.6,12.6,,0,0,0,3,16,0,16,227.0,167.0,,178.0,223.0,223.0,,,
AB165AG,AB16 5AG,AB,17.2,17.1,25.46,,17.1,,,,1.7,1.5,2.57,,1.5,,,,0,0,0,15,0,0,0,660.0,440.0,,660.0,,,,,
AB165BB,AB16 5BB,AB,54.0,50.7,78.6,9.0,,53.3,53.3,,15.0,13.5,20.0,1.0,,14.3,14.3,,0,0,1,0,16,0,16,171.0,98.0,92.0,,176.0,176.0,,,
AB165BD,AB16 5BD,AB,53.7,53.0,80.0,,22.0,56.2,56.2,,16.6,14.1,20.0,,3.0,15.3,15.3,,0,0,0,3,29,0,29,440.0,361.0,,141.0,471.0,471.0,,,
AB165BL,AB16 5BL,AB,26.4,26.7,58.53,9.0,23.3,41.7,41.7,,5.2,5.4,10.32,0.0,4.6,9.0,9.0,,0,0,1,8,3,0,3,492.0,351.0,3.0,661.0,204.0,204.0,,,
AB165BN,AB16 5BN,AB,53.0,46.1,79.91,,18.2,56.0,56.0,,10.0,11.1,20.0,,2.2,14.2,14.2,,0,0,0,6,17,0,17,351.0,156.0,,142.0,425.0,425.0,,,
AB165BP,AB16 5BP,AB,40.0,39.8,78.11,6.0,19.1,56.7,56.7,,10.0,9.4,20.0,1.0,2.2,14.9,14.9,,0,1,1,13,20,0,20,421.0,285.0,54.0,368.0,492.0,492.0,,,
AB165BR,AB16 5BR,AB,59.6,57.9,79.98,,22.0,63.8,63.8,,18.0,14.2,20.0,,1.0,16.3,16.3,,0,0,0,1,6,0,6,359.0,345.0,,114.0,399.0,399.0,,,
AB165BS,AB16 5BS,AB,38.1,34.0,39.98,,23.0,37.7,37.7,,6.9,6.7,9.99,,3.5,7.7,7.7,,0,0,0,2,6,0,6,512.0,504.0,,391.0,553.0,553.0,,,
AB165BT,AB16 5BT,AB,33.9,31.6,62.9,7.0,23.3,38.8,38.8,,6.5,6.0,20.0,4.0,3.1,8.1,8.1,,0,0,1,9,14,0,14,521.0,222.0,304.0,339.0,617.0,617.0,,,
AB165BX,AB16 5BX,AB,32.3,31.3,40.0,,20.3,36.7,36.7,,7.0,5.4,9.98,,1.0,7.5,7.5,,0,0,0,3,6,0,6,348.0,245.0,,25.0,451.0,451.0,,,
AB165DA,AB16 5DA,AB,39.5,36.6,60.48,8.0,18.7,50.6,50.6,,9.8,7.3,16.13,0.0,1.9,11.5,11.5,,0,0,1,7,11,0,11,540.0,354.0,3.0,249.0,774.0,774.0,,,
AB165DN,AB16 5DN,AB,39.1,37.4,63.25,,22.5,43.1,43.1,,8.8,7.3,14.89,,2.0,9.3,9.3,,0,0,0,11,29,0,29,152.0,94.0,,181.0,141.0,141.0,,,
AB165DP,AB16 5DP,AB,40.0,41.2,65.82,,16.5,49.5,49.5,,10.0,11.6,20.0,,6.5,13.3,13.3,,0,0,0,2,6,0,6,258.0,133.0,,67.0,279.0,279.0,,,
AB165DQ,AB16 5DQ,AB,54.8,55.1,100.0,,15.0,57.3,57.3,,10.0,12.7,20.0,,1.0,11.9,11.9,,0,0,0,1,18,0,18,307.0,163.0,,286.0,274.0,274.0,,,
AB165DR,AB16 5DR,AB,45.6,119.6,1000.0,4.0,21.0,47.1,156.4,666.7,10.0,10.9,20.0,1.0,6.0,13.7,11.3,0.0,1,0,1,4,14,3,17,309.0,138.0,51.0,106.0,207.0,278.0,610.0,,
AB165DS,AB16 5DS,AB,57.0,69.3,500.0,7.5,12.0,61.0,79.3,500.0,18.3,13.8,20.0,1.0,1.0,14.8,14.2,0.0,0,0,2,2,23,1,24,286.0,185.0,38.0,30.0,282.0,281.0,259.0,,
AB165DT,AB16 5DT,AB,60.7,67.4,200.0,,15.0,69.5,69.5,,16.3,15.0,29.96,,1.0,14.3,14.3,,0,0,0,1,25,0,25,350.0,247.0,,0.0,322.0,322.0,,,
AB165DU,AB16 5DU,AB,51.8,49.0,80.0,9.0,22.5,52.5,52.5,,15.8,14.3,20.0,1.0,6.5,15.4,15.4,,0,0,1,2,26,0,26,152.0,95.0,170.0,18.0,138.0,138.0,,,
AB165DW,AB16 5DW,AB,59.8,57.6,78.28,,15.0,60.7,60.7,,19.5,16.9,20.0,,1.0,18.1,18.1,,0,0,0,1,14,0,14,585.0,213.0,,171.0,573.0,573.0,,,
AB165DX,AB16 5DX,AB,40.0,56.6,200.0,,15.0,63.6,63.6,,10.0,10.1,17.67,,2.3,9.7,9.7,,0,0,0,3,18,0,18,518.0,309.0,,57.0,480.0,480.0,,,
AB165DY,AB16 5DY,AB,43.9,42.6,69.97,4.0,28.5,48.3,48.3,,10.0,12.0,19.53,1.0,10.0,13.3,13.3,,0,1,0,2,12,0,12,244.0,227.0,3.0,198.0,272.0,272.0,,,
AB165DZ,AB16 5DZ,AB,39.1,36.2,79.98,,11.0,53.0,53.0,,9.8,8.3,20.0,,1.0,13.3,13.3,,0,0,0,2,3,0,3,197.0,78.0,,78.0,211.0,211.0,,,
AB165EA,AB16 5EA,AB,40.0,59.9,500.0,,16.0,45.2,80.2,500.0,10.0,10.0,20.0,,3.2,13.5,12.5,0.0,0,0,0,6,12,1,13,417.0,434.0,,302.0,437.0,470.0,870.0,,
AB165EB,AB16 5EB,AB,40.0,46.2,100.0,,12.0,56.0,56.0,,10.0,9.5,20.0,,1.0,10.4,10.4,,0,0,0,2,7,0,7,413.0,377.0,,90.0,446.0,446.0,,,
AB165ED,AB16 5ED,AB,19.5,32.4,100.0,5.0,17.0,69.5,69.5,,4.1,4.0,9.76,1.0,3.3,5.0,5.0,,0,1,0,3,2,0,2,151.0,176.0,2.0,73.0,193.0,193.0,,,
AB165EE,AB16 5EE,AB,42.1,50.8,79.74,,21.0,53.8,53.8,,10.0,12.5,20.0,,3.5,13.4,13.4,,0,0,0,2,20,0,20,516.0,292.0,,159.0,552.0,552.0,,,
AB165EJ,AB16 5EJ,AB,22.5,25.8,54.83,2.0,15.0,41.4,41.4,,5.0,5.2,9.99,1.0,3.0,8.2,8.2,,0,1,0,5,5,0,5,255.0,90.0,49.0,261.0,189.0,189.0,,,
AB165EL,AB16 5EL,AB,25.4,63.5,1000.0,9.0,21.1,44.7,181.1,1000.0,4.4,4.1,8.32,1.8,4.2,5.2,4.4,0.0,0,0,5,13,6,1,7,401.0,357.0,345.0,268.0,336.0,516.0,1592.0,,
AB165EN,AB16 5EN,AB,26.4,35.0,100.0,,24.2,67.5,67.5,,6.6,6.6,9.98,,6.0,5.0,5.0,,0,0,0,6,2,0,2,280.0,337.0,,184.0,428.0,428.0,,,
AB165EP,AB16 5EP,AB,31.7,129.6,1000.0,8.0,19.8,120.1,225.1,750.0,5.6,4.7,8.71,1.5,5.0,2.4,2.0,0.0,0,0,4,6,10,2,12,508.0,293.0,301.0,155.0,678.0,669.0,624.0,,
AB165EQ,AB16 5EQ,AB,31.2,81.2,500.0,9.5,17.0,70.5,136.6,500.0,5.5,5.0,9.99,2.0,3.6,5.4,4.5,0.0,0,0,2,9,11,2,13,431.0,132.0,514.0,168.0,487.0,534.0,791.0,,
AB165ER,AB16 5ER,AB,24.5,41.0,200.0,8.0,20.4,82.7,82.7,,4.5,5.1,10.0,1.0,4.1,6.3,6.3,,0,0,2,11,7,0,7,395.0,240.0,37.0,334.0,423.0,423.0,,,
AB165ES,AB16 5ES,AB,100.0,95.0,200.0,6.0,16.3,160.0,160.0,,4.5,4.6,6.0,4.0,5.0,0.0,0.0,,0,0,1,3,5,0,5,389.0,367.0,158.0,156.0,574.0,574.0,,,
AB165ET,AB16 5ET,AB,69.7,60.7,79.76,,,60.8,60.8,,14.6,14.4,20.0,,,14.4,14.4,,0,0,0,0,5,0,5,878.0,1152.0,,,878.0,878.0,,,
AB165EU,AB16 5EU,AB,30.1,28.2,32.12,,24.0,31.0,31.0,,5.3,5.5,7.18,,4.5,6.3,6.3,,0,0,0,2,3,0,3,102.0,63.0,,32.0,148.0,148.0,,,
AB165EW,AB16 5EW,AB,25.5,22.2,39.89,7.3,20.8,33.4,33.4,,5.0,4.7,10.0,1.5,5.2,5.9,5.9,,0,1,5,15,10,0,10,433.0,308.0,224.0,404.0,558.0,558.0,,,
AB165EX,AB16 5EX,AB,100.0,65.4,100.0,,13.5,100.0,100.0,,1.4,1.4,1.68,,1.5,0.0,0.0,,0,0,0,2,3,0,3,257.0,219.0,,146.0,246.0,246.0,,,
AB165EZ,AB16 5EZ,AB,60.3,64.8,156.58,6.0,,76.6,76.6,,16.0,13.8,20.0,1.0,,16.4,16.4,,0,0,1,0,5,0,5,351.0,205.0,32.0,,274.0,274.0,,,
AB165HA,AB16 5HA,AB,38.3,47.3,100.0,,27.0,52.5,52.5,,6.7,6.8,7.96,,6.0,5.3,5.3,,0,0,0,1,4,0,4,539.0,446.0,,185.0,493.0,493.0,,,
AB165HG,AB16 5HG,AB,26.8,24.1,39.01,10.0,20.5,35.0,35.0,,2.5,3.4,6.29,1.0,2.0,6.0,6.0,,0,0,1,2,2,0,2,214.0,171.0,48.0,118.0,394.0,394.0,,,
AB165HH,AB16 5HH,AB,40.0,46.3,158.49,7.5,13.4,61.7,61.7,,10.0,11.6,29.92,1.0,1.1,16.3,16.3,,0,0,2,7,20,0,20,455.0,300.0,83.0,304.0,477.0,477.0,,,
AB165HJ,AB16 5HJ,AB,63.7,64.1,153.18,9.0,25.0,73.5,73.5,,14.2,14.1,24.56,1.0,8.0,14.6,14.6,,0,0,1,1,10,0,10,325.0,296.0,4.0,261.0,364.0,364.0,,,
AB165HN,AB16 5HN,AB,45.4,38.6,74.42,8.0,15.4,51.0,51.0,,10.2,10.5,20.0,1.0,1.4,15.2,15.2,,0,0,2,7,18,0,18,451.0,376.0,47.0,230.0,556.0,556.0,,,
AB165HU,AB16 5HU,AB,62.5,57.9,79.74,,13.0,63.6,63.6,,17.9,14.4,20.0,,1.0,16.1,16.1,,0,0,0,1,8,0,8,246.0,302.0,,245.0,246.0,246.0,,,
AB165HW,AB16 5HW,AB,48.6,46.9,79.23,,17.9,55.6,55.6,,14.4,12.0,20.0,,1.6,15.1,15.1,,0,0,0,8,27,0,27,399.0,352.0,,125.0,450.0,450.0,,,
AB165HY,AB16 5HY,AB,51.4,46.3,66.52,,20.3,52.9,52.9,,13.3,12.9,20.0,,3.8,15.2,15.2,,0,0,0,4,16,0,16,355.0,247.0,,191.0,396.0,396.0,,,
AB165HZ,AB16 5HZ,AB,46.1,46.2,72.96,,19.3,51.3,51.3,,10.0,12.3,20.0,,1.0,14.4,14.4,,0,0,0,3,16,0,16,280.0,101.0,,80.0,318.0,318.0,,,
AB165JA,AB16 5JA,AB,66.8,71.2,200.0,,16.5,93.2,93.2,,15.0,12.0,20.0,,1.0,14.0,14.0,,0,0,0,2,5,0,5,342.0,309.0,,98.0,371.0,371.0,,,
AB165JB,AB16 5JB,AB,47.8,44.3,70.73,7.8,13.0,51.5,51.5,,15.9,13.7,20.0,2.3,1.0,16.0,16.0,,0,0,6,1,35,0,35,554.0,350.0,164.0,288.0,612.0,612.0,,,
AB165JD,AB16 5JD,AB,22.2,44.9,330.0,,21.4,106.7,162.5,330.0,1.2,6.0,50.0,,1.1,23.3,30.0,50.0,0,0,0,20,3,1,4,393.0,327.0,,341.0,532.0,554.0,619.0,,
AB165JE,AB16 5JE,AB,33.6,31.4,43.03,,23.4,36.4,36.4,,6.6,6.0,7.83,,4.6,6.9,6.9,,0,0,0,5,8,0,8,539.0,479.0,,348.0,659.0,659.0,,,
AB165JG,AB16 5JG,AB,42.3,46.9,160.0,,19.8,63.1,63.1,,8.9,8.9,30.0,,1.0,13.6,13.6,,0,0,0,6,10,0,10,517.0,370.0,,416.0,577.0,577.0,,,
